"Sample" "Diphtong" "Speaker" "Percentage...." "T1" "T2" "T3" "T4"
"226" 21 "aI" "M" 50 597.474576271186 1414.37288135593 2367.91525423729 3550.4406779661
"227" 21 "aI" "M" 60 579.169491525424 1433.79661016949 2378.89830508475 3581.69491525424
"228" 21 "aI" "M" 70 553.237288135593 1472.52542372881 2401.52542372881 3619.59322033898
"229" 21 "aI" "M" 80 523.830508474576 1516.94915254237 2451.77966101695 3672
"230" 21 "aI" "M" 90 445.711864406779 1504.81355932203 2451.79661016949 3669.30508474576
"231" 21 "aI" "M" 100 281 1381 2051 2422
"232" 22 "OY" "M" 0 373 1099 2024 2926
"233" 22 "OY" "M" 10 481.305084745763 1064.15254237288 2427.01694915254 3073.18644067797
"234" 22 "OY" "M" 20 502 987.203389830509 2893.4406779661 3236.42372881356
"235" 22 "OY" "M" 30 504 950.372881355932 2527.8813559322 2908.71186440678
"236" 22 "OY" "M" 40 508.508474576271 959.35593220339 2504.32203389831 2924.57627118644
"237" 22 "OY" "M" 50 515.423728813559 1009.33898305085 2459.76271186441 2960.38983050847
"238" 22 "OY" "M" 60 511.508474576271 1087.32203389831 2396.64406779661 2977.47457627119
"239" 22 "OY" "M" 70 506.627118644068 1155.06779661017 2348.23728813559 2954.83050847458
"240" 22 "OY" "M" 80 476.983050847458 1220.23728813559 2314.33898305085 2915.5593220339
"241" 22 "OY" "M" 90 449.661016949153 1331.72881355932 2318.77966101695 2822.8813559322
"242" 22 "OY" "M" 100 398 1370 2364 3358
"243" 23 "aI" "M" 0 444 1076 2292 3295
"244" 23 "aI" "M" 10 496.101694915254 1138.38983050847 2291.49152542373 3254.67796610169
"245" 23 "aI" "M" 20 543.203389830509 1188.5593220339 2306.28813559322 3255.94915254237
"246" 23 "aI" "M" 30 568.457627118644 1242.18644067797 2331.84745762712 3268.96610169492
"247" 23 "aI" "M" 40 570.677966101695 1287.83050847458 2353.77966101695 3271
"248" 23 "aI" "M" 50 566.389830508475 1318.66101694915 2337.84745762712 3278.83050847458
"249" 23 "aI" "M" 60 558.084745762712 1373.40677966102 2332.08474576271 3296.86440677966
"250" 23 "aI" "M" 70 541.864406779661 1416.83050847458 2320.93220338983 3312.69491525424
"251" 23 "aI" "M" 80 518.338983050847 1446.8813559322 2351.16949152542 3247.77966101695
"252" 23 "aI" "M" 90 466.067796610169 1470.62711864407 2398.69491525424 3836.22033898305
"253" 23 "aI" "M" 100 380 1441 2397 3801
"254" 24 "aI" "M" 0 555 1488 2116 3347.97193702943
"255" 24 "aI" "M" 10 602.847457627119 1425.47457627119 2121.57627118644 3273.25423728814
"256" 24 "aI" "M" 20 641.067796610169 1356.38983050847 2097.47457627119 3139.42372881356
"257" 24 "aI" "M" 30 672.28813559322 1366.13559322034 2181.79661016949 3185.98305084746
"258" 24 "aI" "M" 40 677.661016949153 1407.67796610169 2242.81355932203 3268.91525423729
"259" 24 "aI" "M" 50 661.932203389831 1448.59322033898 2282.38983050847 3350.30508474576
"260" 24 "aI" "M" 60 628.728813559322 1495.71186440678 2343.16949152542 3435.28813559322
